
2020-01-15 23:28:18-WARNING-[进程ID:11964][线程ID:3872,MainThread]--您输入的多任务数为1,不符合要求,请重新输入! 
2020-01-15 23:28:22-INFO-[进程ID:11964][线程ID:3872,MainThread]--即将启动,多任务:2 
2020-01-15 23:28:22-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call isElementPresent('//*[@id="cfDefaultLogo"]',) 
2020-01-15 23:28:22-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call open('https://auth.huaweicloud.com/',) 
2020-01-15 23:28:22-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call open('https://auth.huaweicloud.com/',) 
2020-01-15 23:28:30-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call wait(3,) 
2020-01-15 23:28:30-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call wait(3,) 
2020-01-15 23:28:33-INFO-[进程ID:1548][线程ID:19472,MainThread]--call login() ... 
2020-01-15 23:28:33-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call waitAppear('//*[@id="btn_submit"]',) 
2020-01-15 23:28:33-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call isElementPresent('//*[@id="btn_submit"]', 'xpath') 
2020-01-15 23:28:33-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call click('//*[@id="subUserLogin"]',) 
2020-01-15 23:28:33-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call waitAppear('//*[@id="IAMAccountInputId"]/input',) 
2020-01-15 23:28:33-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call isElementPresent('//*[@id="IAMAccountInputId"]/input', 'xpath') 
2020-01-15 23:28:33-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call waitAppear('//*[@id="IAMUsernameInputId"]/input',) 
2020-01-15 23:28:33-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call isElementPresent('//*[@id="IAMUsernameInputId"]/input', 'xpath') 
2020-01-15 23:28:33-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call waitAppear('//*[@id="IAMPasswordInputId"]/input',) 
2020-01-15 23:28:33-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call isElementPresent('//*[@id="IAMPasswordInputId"]/input', 'xpath') 
2020-01-15 23:28:33-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call wait(1,) 
2020-01-15 23:28:33-INFO-[进程ID:26064][线程ID:18276,MainThread]--call login() ... 
2020-01-15 23:28:33-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call waitAppear('//*[@id="btn_submit"]',) 
2020-01-15 23:28:33-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call isElementPresent('//*[@id="btn_submit"]', 'xpath') 
2020-01-15 23:28:33-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call click('//*[@id="subUserLogin"]',) 
2020-01-15 23:28:33-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call waitAppear('//*[@id="IAMAccountInputId"]/input',) 
2020-01-15 23:28:33-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call isElementPresent('//*[@id="IAMAccountInputId"]/input', 'xpath') 
2020-01-15 23:28:33-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call waitAppear('//*[@id="IAMUsernameInputId"]/input',) 
2020-01-15 23:28:33-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call isElementPresent('//*[@id="IAMUsernameInputId"]/input', 'xpath') 
2020-01-15 23:28:33-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call waitAppear('//*[@id="IAMPasswordInputId"]/input',) 
2020-01-15 23:28:33-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call isElementPresent('//*[@id="IAMPasswordInputId"]/input', 'xpath') 
2020-01-15 23:28:33-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call wait(1,) 
2020-01-15 23:28:34-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call input('//*[@id="IAMAccountInputId"]/input', '输入真实账号') 
2020-01-15 23:28:34-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call input('//*[@id="IAMUsernameInputId"]/input', '输入真实子账号') 
2020-01-15 23:28:34-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call input('//*[@id="IAMPasswordInputId"]/input', '输入密码') 
2020-01-15 23:28:34-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call wait(1,) 
2020-01-15 23:28:34-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call input('//*[@id="IAMAccountInputId"]/input', '输入真实账号') 
2020-01-15 23:28:34-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call input('//*[@id="IAMUsernameInputId"]/input', '输入真实子账号') 
2020-01-15 23:28:34-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call input('//*[@id="IAMPasswordInputId"]/input', '输入密码') 
2020-01-15 23:28:34-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call wait(1,) 
2020-01-15 23:28:35-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call click('//*[@id="btn_submit"]',) 
2020-01-15 23:28:35-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call waitAppear('//*[@id="model.nextBind"]/div/span',) 
2020-01-15 23:28:35-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call isElementPresent('//*[@id="model.nextBind"]/div/span', 'xpath') 
2020-01-15 23:28:35-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call wait(1,) 
2020-01-15 23:28:35-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call click('//*[@id="btn_submit"]',) 
2020-01-15 23:28:35-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call waitAppear('//*[@id="model.nextBind"]/div/span',) 
2020-01-15 23:28:35-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call isElementPresent('//*[@id="model.nextBind"]/div/span', 'xpath') 
2020-01-15 23:28:35-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call wait(1,) 
2020-01-15 23:28:36-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call isElementPresent('//*[@id="model.nextBind"]/div/span', 'xpath') 
2020-01-15 23:28:36-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call isElementPresent('//*[@id="model.nextBind"]/div/span', 'xpath') 
2020-01-15 23:28:37-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call wait(1,) 
2020-01-15 23:28:37-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call wait(1,) 
2020-01-15 23:28:38-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call isElementPresent('//*[@id="model.nextBind"]/div/span', 'xpath') 
2020-01-15 23:28:38-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call wait(1,) 
2020-01-15 23:28:38-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call isElementPresent('//*[@id="model.nextBind"]/div/span', 'xpath') 
2020-01-15 23:28:38-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call wait(1,) 
2020-01-15 23:28:39-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call isElementPresent('//*[@id="model.nextBind"]/div/span', 'xpath') 
2020-01-15 23:28:39-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call wait(1,) 
2020-01-15 23:28:39-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call isElementPresent('//*[@id="model.nextBind"]/div/span', 'xpath') 
2020-01-15 23:28:39-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call wait(1,) 
2020-01-15 23:28:40-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call isElementPresent('//*[@id="model.nextBind"]/div/span', 'xpath') 
2020-01-15 23:28:40-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call wait(1,) 
2020-01-15 23:28:40-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call isElementPresent('//*[@id="model.nextBind"]/div/span', 'xpath') 
2020-01-15 23:28:40-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call wait(1,) 
2020-01-15 23:28:41-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call isElementPresent('//*[@id="model.nextBind"]/div/span',) 
2020-01-15 23:28:41-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call wait(1,) 
2020-01-15 23:28:41-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call isElementPresent('//*[@id="model.nextBind"]/div/span',) 
2020-01-15 23:28:41-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call wait(1,) 
2020-01-15 23:28:42-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call isElementPresent('//*[@id="model.nextBind"]/div/span',) 
2020-01-15 23:28:42-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call wait(1,) 
2020-01-15 23:28:42-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call isElementPresent('//*[@id="model.nextBind"]/div/span',) 
2020-01-15 23:28:42-INFO-[进程ID:26064][线程ID:18276,MainThread]--Call wait(1,) 
2020-01-15 23:28:43-INFO-[进程ID:1548][线程ID:19472,MainThread]--Call isElementPresent('//*[@id="model.nextBind"]/div/span',) 
